"","cellids","conf1","conf2","conf3"
"669","D354","3","1","2"
"670","D339","unassigned","unassigned","2"
"671","D354","3","1","2"
"672","D367","unassigned","unassigned","2"
"673","D339","unassigned","unassigned","2"
"674","D322","3","1","2"
"675","D353","unassigned","unassigned","2"
"676","D337","unassigned","unassigned","2"
"677","D354","3","1","2"
"678","D363","unassigned","unassigned","2"
"679","D372","unassigned","unassigned","2"
"680","D354","unassigned","unassigned","2"
"681","D354","unassigned","unassigned","2"
"682","D372","unassigned","unassigned","2"
"683","D339","unassigned","unassigned","2"
"684","D363","unassigned","unassigned","2"
"685","D363","3","1","2"
"686","D367","3","unassigned","2"
"687","D367","unassigned","unassigned","2"
"688","D353","3","1","2"
"689","D353","3","1","2"
"690","D337","unassigned","unassigned","2"
"691","D367","3","1","2"
"692","D363","unassigned","unassigned","2"
"693","D339","3","1","2"
"694","D367","3","1","2"
"695","D326","unassigned","unassigned","2"
"696","D322","unassigned","unassigned","2"
"697","D367","unassigned","unassigned","2"
"698","D367","unassigned","unassigned","2"
"699","D353","unassigned","unassigned","2"
"700","D372","unassigned","unassigned","2"
"701","D354","3","1","2"
"702","D367","unassigned","unassigned","2"
"703","D322","unassigned","unassigned","2"
"704","D363","3","1","2"
"705","D372","3","1","2"
"706","D354","3","1","2"
"707","D326","unassigned","1","2"
"708","D353","3","1","2"
"709","D353","unassigned","unassigned","2"
"710","D344","unassigned","unassigned","2"
"711","D339","3","1","2"
"712","D372","3","1","2"
"713","D363","unassigned","unassigned","2"
"714","D353","unassigned","unassigned","2"
"715","D344","unassigned","unassigned","2"
"716","D372","3","unassigned","2"
"717","D353","unassigned","unassigned","2"
"718","D367","3","1","2"
"719","D322","3","1","2"
"720","D344","unassigned","1","2"
"721","D372","unassigned","unassigned","2"
"722","D322","3","1","2"
"723","D339","unassigned","unassigned","2"
"724","D339","unassigned","unassigned","2"
"725","D367","3","unassigned","2"
"726","D372","unassigned","unassigned","2"
"727","D372","3","1","2"
"728","D353","3","1","2"
"729","D367","unassigned","unassigned","2"
"730","D367","unassigned","unassigned","2"
"731","D344","unassigned","unassigned","2"
"732","D363","unassigned","unassigned","2"
"733","D326","3","1","2"
"734","D372","unassigned","unassigned","2"
"735","D367","unassigned","1","2"
"736","D372","3","1","2"
"737","D344","unassigned","unassigned","2"
"738","D353","unassigned","1","2"
"739","D353","3","1","2"
"740","D322","3","1","2"
"741","D372","unassigned","unassigned","2"
"742","D367","3","1","2"
"743","D367","3","1","2"
"744","D363","unassigned","unassigned","2"
"745","D322","3","1","2"
"746","D326","3","1","2"
"747","D363","3","1","2"
"748","D339","3","1","2"
"749","D363","3","1","2"
"750","D353","3","1","2"
"751","D367","unassigned","unassigned","2"
"752","D372","unassigned","unassigned","2"
"753","D372","unassigned","unassigned","2"
"754","D363","unassigned","unassigned","2"
"755","D367","3","1","2"
"756","D322","unassigned","1","2"
"757","D353","unassigned","unassigned","2"
"758","D367","unassigned","unassigned","2"
"759","D372","unassigned","unassigned","2"
"760","D344","unassigned","unassigned","2"
"761","D372","3","1","2"
"762","D353","unassigned","unassigned","unassigned"
"763","D372","unassigned","unassigned","2"
"764","D326","unassigned","unassigned","2"
"765","D363","unassigned","1","2"
"766","D354","unassigned","unassigned","2"
"767","D354","unassigned","unassigned","2"
"768","D322","unassigned","unassigned","2"
"769","D353","3","1","2"
"770","D372","unassigned","unassigned","2"
"771","D372","unassigned","unassigned","2"
"772","D372","unassigned","unassigned","2"
"773","D337","unassigned","unassigned","2"
"774","D353","unassigned","unassigned","2"
"775","D367","3","1","2"
"776","D353","unassigned","unassigned","2"
"777","D372","unassigned","unassigned","2"
"778","D353","3","unassigned","2"
"779","D367","3","1","2"
"780","D353","3","1","2"
"781","D372","unassigned","unassigned","2"
"782","D354","unassigned","1","2"
"783","D363","3","1","2"
"784","D363","unassigned","unassigned","2"
"785","D353","unassigned","unassigned","2"
"786","D363","unassigned","unassigned","2"
"787","D326","unassigned","unassigned","2"
"788","D326","unassigned","unassigned","2"
"789","D353","unassigned","unassigned","2"
"790","D339","3","1","2"
"791","D353","unassigned","unassigned","unassigned"
"792","D322","3","1","2"
"793","D367","3","1","2"
"794","D344","3","1","2"
"795","D344","3","1","2"
"796","D344","3","1","2"
"797","D339","unassigned","unassigned","2"
"798","D367","3","1","2"
"799","D339","unassigned","unassigned","2"
"800","D339","unassigned","unassigned","2"
"801","D353","unassigned","unassigned","2"
"802","D322","unassigned","unassigned","2"
"803","D322","unassigned","unassigned","2"
"804","D326","unassigned","1","2"
"805","D372","unassigned","unassigned","2"
"806","D353","3","1","2"
"807","D367","unassigned","unassigned","2"
"808","D344","unassigned","unassigned","2"
"809","D322","unassigned","unassigned","2"
"810","D372","unassigned","1","2"
"811","D353","unassigned","unassigned","2"
"812","D339","unassigned","unassigned","2"
"813","D353","unassigned","unassigned","2"
"814","D367","3","1","2"
"815","D367","unassigned","1","2"
"816","D326","unassigned","unassigned","2"
"817","D344","unassigned","unassigned","2"
"818","D372","unassigned","unassigned","2"
"819","D353","unassigned","unassigned","2"
"820","D339","unassigned","unassigned","2"
"821","D353","3","1","2"
"822","D353","unassigned","unassigned","2"
"823","D353","unassigned","unassigned","2"
"824","D354","unassigned","unassigned","2"
"825","D367","3","1","2"
"826","D367","unassigned","unassigned","2"
